jugador,cfn_id,personaje,pais,mr
Kusanagi,2123987981,Marisa,Venezuela,1751
WUS Tinnico,2673197237,Dee Jay,Uruguay,1751
Valdi,4147928784,Dhalsim,Brasil,1750
Julio150ml,3669708359,Zangief,Brasil,1750
Elladan,3768082103,Chun-Li,Brasil,1750
Caio_cfs,2499901989,Rashid,Brasil,1749
Caio_cfs,2499901989,Dee Jay,Brasil,1749
AmadeoModi,3739932500,Ken,Perú,1749
Pedream,2616132292,Luke,Brasil,1748
Niel_,2072437349,Ken,Brasil,1748
Zane,1777564348,Kimberly,Chile,1746
LF Lendiaviva,1675853930,Luke,Brasil,1746
Shin Fighter,2130379469,Ken,Brasil,1745
ThePendragonBR,1693847953,Rashid,Brasil,1744
LF|GHOST-KILLER,1211421571,Dee Jay,Brasil,1744
Atma_,3516438373,Rashid,Chile,1743
BrandonHeat77,1229890165,JP,Brasil,1742
Guizin4i20,1389368346,JP,Brasil,1742
VeXx,3588618239,Juri,Venezuela,1742
Piroa,3391604738,Zangief,Brasil,1741
LowainCarriedME,1986952283,Jamie,Ecuador,1741
Broly_,1403832331,Marisa,Brasil,1740
KáiserPudú ♡♪!?,2341247872,Marisa,Chile,1740
Clamper,3345413606,Juri,Brasil,1740
Maroto,1997833069,Juri,Brasil,1740
Matriaxx85,2453071198,Blanka,Chile,1740
Gustavo_SJ,1197242691,Rashid,Brasil,1740
LiuMiyavi,3515965313,JP,Brasil,1739
arrancamelon,3250634892,Blanka,Brasil,1739
ROBINHO DA ILHA,3923621904,Dee Jay,Brasil,1739
Luis Miguel,3343507645,Ken,Chile,1739
BLK | PlaayLe0,1117544419,Chun-Li,Argentina,1738
KyukiVT,1685962915,Cammy,Brasil,1737
SFT GuillerBR,3123159186,Guile,Brasil,1736
Feypa,2258638437,Marisa,Brasil,1736
Ryukengouki,3607626135,Guile,Brasil,1735
000001,3360697945,Ken,Brasil,1735
Deejay_Ec,4159284746,Dhalsim,Ecuador,1734
Alexis2904,4214366234,Guile,Brasil,1734
Pochoclo23,3987753314,Manon,Chile,1733
KyukiVT,1685962915,Manon,Brasil,1733
R3natinha,3025663369,Chun-Li,Brasil,1733
manuelpbriones,3514774648,Ken,Brasil,1733
Hunter,3508961057,Ken,Brasil,1733
jieba5512,3000982460,Cammy,Chile,1732
Kerplunk,3399033146,Zangief,Chile,1732
Demitrix,3816542143,Manon,Brasil,1732
-Dragon_Legend-,3710516941,Manon,Brasil,1732
@Zenith,1165762004,Marisa,Brasil,1732
Darlan,1228906084,Ryu,Perú,1732
Dookie-PC,3277074647,Luke,Argentina,1731
mouzeta,1613010797,Guile,Perú,1731
K1llerBee,2616292938,Dee Jay,Brasil,1731
Moicano,2940722610,Dee Jay,Brasil,1731
Lequinho,1520103512,Zangief,Brasil,1730
Pochoclo23,3987753314,Chun-Li,Chile,1730
MuriloBds,1686008862,Rashid,Brasil,1730
Klizard,2723775805,Dhalsim,Brasil,1729
Cadinho3,2379837097,JP,Brasil,1727
Pochoclo23,3987753314,A.K.I.,Chile,1727
Evilcraa,2026022314,JP,Chile,1726
theforce90,1346704274,Juri,Brasil,1726
TRT Zero,3526445220,Ken,Brasil,1726
TRT Zero,3526445220,Dhalsim,Brasil,1725
Caio_cfs,2499901989,Chun-Li,Brasil,1725
Darkslayer85,3893101338,Kimberly,Brasil,1725
KyukiVT,1685962915,Juri,Brasil,1725
Himself,1431551439,Ken,Chile,1725
Kairi_PC,1585655188,Rashid,Chile,1724
Alemao,1887523552,JP,Brasil,1723
CheerRONIN,2651827349,JP,Brasil,1722
Clamper,3345413606,JP,Brasil,1721
Haise,2444412031,Marisa,Chile,1721
WUS Tinnico,2673197237,Rashid,Uruguay,1721
CalmBirdXD,2136602793,Ken,Brasil,1721
G01ira,2548184237,Cammy,Brasil,1720
shida,3571773326,Guile,Brasil,1720
LF|GUTO-KILLER,2383442650,Juri,Brasil,1720
Tahiel,3282223075,A.K.I.,Argentina,1720
GenyarikadoX,1217840637,E. Honda,Argentina,1719
RIZZO,3644460886,Kimberly,Brasil,1718
BILLSDESTRUIDOR,1034185530,Luke,Brasil,1717
JF-Keydash,3136287548,Guile,Argentina,1717
Crocta,2858731234,Dee Jay,Bolivia,1717
