rank,player,clase
376,Banaco#1135,barbarian
377,Allorim#11826,barbarian
378,Pooshlmer#1902,barbarian
379,Mateusao2016#1381,barbarian
380,Poken#21701,barbarian
381,Tsed#1572,barbarian
382,Siegeblade#1993,barbarian
383,nothing#1161,barbarian
384,Mexsus#1223,barbarian
385,Marcellagens#1105,barbarian
386,ElPancho#11641,barbarian
387,Karter#1403,barbarian
388,Sisemen#1576,barbarian
389,Cannabian#1668,barbarian
390,Foosala#1533,barbarian
391,Zylord#1354,barbarian
392,Vintagejones#1174,barbarian
393,PathofSix#1766,barbarian
394,PissedMarine#1207,barbarian
395,EternalShmee#2586,barbarian
396,Doom#1706,barbarian
397,xHollowModex#1351,barbarian
398,DconoBarion#1671,barbarian
399,Bozz#1854,barbarian
400,Smoke#13929,barbarian
401,JYDI#3322,barbarian
402,Johnzz#3360,barbarian
403,Bolo#1658,barbarian
404,Upsilon#1688,barbarian
405,Daid#11344,barbarian
406,Brutus#1201,barbarian
407,bmaurer#1690,barbarian
408,Xaah#1600,barbarian
409,Shockspam#1743,barbarian
410,Vosscat#1434,barbarian
411,Shoefish#6133,barbarian
412,rbahamut#1857,barbarian
413,dizaster#11170,barbarian
414,Awahime#1653,barbarian
415,SneakyGreenG#1221,barbarian
416,Ravenger#1170,barbarian
417,JamCee#1673,barbarian
418,Gilgatron#1505,barbarian
419,小白#3898,barbarian
420,LynC#11681,barbarian
421,Charlie#1945,barbarian
422,12265607,m
423,KaptKr0nic#1250,barbarian
424,nemesis#11600,barbarian
425,TioGatts#1240,barbarian
426,Kinger#1287,barbarian
427,Vishes#11641,barbarian
428,Butler#1841,barbarian
429,Ragnarok#1262,barbarian
430,Splashing#1774,barbarian
431,Intoxication#1454,barbarian
432,Greybeard#1263,barbarian
433,Chidori#1560,barbarian
434,Viperoman#1457,barbarian
435,Drviss#1396,barbarian
436,Valquandrius#1800,barbarian
437,Kleeb#11366,barbarian
438,XxBassDocxX#1212,barbarian
439,Ronuldraygun#1963,barbarian
440,fethor#1293,barbarian
441,Monti#11861,barbarian
442,Tippycanoe#1413,barbarian
443,FourTLoG#1659,barbarian
444,Xproject#1818,barbarian
445,iCoordinator#1403,barbarian
446,Dkt#1806,barbarian
447,Kungen#1479,barbarian
448,Toblerkyme#6808,barbarian
449,ZWEIHORNE#1944,barbarian
450,Chubbzilla#1757,barbarian
451,Toaster#1124,barbarian
452,Shinsoku#1310,barbarian
453,Charmander#1690,barbarian
454,Velric#1109,barbarian
455,SiZzle#1374,barbarian
456,Wrecktify#11360,barbarian
457,Fatcalvin#1457,barbarian
458,Blazen#11923,barbarian
459,Forbid#1722,barbarian
460,Hammuh#11744,barbarian
461,Aufsteigen#1531,barbarian
462,rougal#2145,barbarian
463,muffinnuts#1507,barbarian
464,Kaotic#1107,barbarian
465,Miguz#1908,barbarian
466,Xander#1185,barbarian
467,Linkstar#1279,barbarian
468,UndrcvrApple#1975,barbarian
469,Psychonaut#1256,barbarian
470,RokERode75#1900,barbarian
471,Satanika#1890,barbarian
472,DigitalGunny#1552,barbarian
473,Trogga#1320,barbarian
474,Galymos#1723,barbarian
475,Sunderbluff#1367,barbarian
476,Caleb#1228,barbarian
477,Tupa#3342,barbarian
478,Furulu#1568,barbarian
479,LORDMICK#1291,barbarian
480,Creyo#1142,barbarian
481,Ayulno#1921,barbarian
482,Druggernaut#1433,barbarian
483,murrman5000#1330,barbarian
484,Chameleon88#2374,barbarian
485,DesertEagle#1986,barbarian
486,Voodues#1169,barbarian
487,kim#1769,barbarian
488,Doombringer#1998,barbarian
489,Dragless#1102,barbarian
490,Inflictus#1141,barbarian
491,vigwolff#1148,barbarian
492,Sanatarium#1621,barbarian
493,Juice#12150,barbarian
494,Jolyon#1386,barbarian
495,Con#1354,barbarian
496,CashMoney#1211,barbarian
497,Biggercheese#1250,barbarian
498,DaTaLa#1786,barbarian
499,Jickywoo#1888,barbarian
500,NoMercy#1310,barbarian
501,Jujujuice#11635,barbarian
502,ZAHEM#1108,barbarian
503,SavageBurger#1741,barbarian
504,zumpiatti#1528,barbarian
505,tremere#1828,barbarian
506,TERROR#1977,barbarian
507,Mori#1496,barbarian
508,joriver#1866,barbarian
509,Froo#1742,barbarian
510,DeedsOfValor#1548,barbarian
511,oCHAo#3534,barbarian
512,isaiah#11368,barbarian
513,Honeybadger#13837,barbarian
514,JOCK#1416,barbarian
515,QcMrPhil#1764,barbarian
516,Lawlsup#1501,barbarian
517,Molten#11485,barbarian
518,Barbarian#1603,barbarian
519,BogaS#1641,barbarian
520,Dominion#1566,barbarian
521,nhilhathak#1931,barbarian
522,MachoMan#11879,barbarian
523,Deathadder77#1208,barbarian
524,Dc1ph3r#1602,barbarian
525,Zakzozen#1287,barbarian
526,ethereal7#2268,barbarian
527,Jaysap#1101,barbarian
528,Cyclonic#1771,barbarian
529,Jaina#1847,barbarian
530,Essayons#1948,barbarian
531,Alleriea#1768,barbarian
532,Jien#1243,barbarian
533,FiapoPrime#1510,barbarian
534,DlNOEZ#1807,barbarian
535,furyofdark#1114,barbarian
536,SmashedLemon#1925,barbarian
537,Toons#1327,barbarian
538,Logan#14272,barbarian
539,Deathflash#1841,barbarian
540,Exogenesis#6498,barbarian
541,Jakenov#1137,barbarian
542,Achillies#6279,barbarian
543,Hellabored#1573,barbarian
544,Laveth#1959,barbarian
545,Daverose#1827,barbarian
546,GreenWood97#1865,barbarian
547,Khork#1266,barbarian
548,Koro#1672,barbarian
549,TurboTwit#11706,barbarian
550,Toorrc#1502,barbarian
551,BlindReaper#1934,barbarian
552,Snipercable#1146,barbarian
553,Daddy#16469,barbarian
554,TheRamey#1919,barbarian
555,Phasen#1219,barbarian
556,KAISA#3610,barbarian
557,Scorpio#1384,barbarian
558,Havok#1122,barbarian
559,Destroyer#29932,barbarian
560,Bone#1887,barbarian
561,Retyun#1576,barbarian
562,Rtic#1656,barbarian
563,mephiticus#1637,barbarian
564,TsuMikiN#1588,barbarian
565,Antagonist#1332,barbarian
566,ShyDevil#1183,barbarian
567,Hachabah#1133,barbarian
568,cam#1976,barbarian
569,EtheralReign#1587,barbarian
570,Gomez#1636,barbarian
571,Kazmodeus#1229,barbarian
572,Mcfluffy32#1655,barbarian
573,methias#1230,barbarian
574,Tiny711#1508,barbarian
575,Buzzerlord#1738,barbarian
576,Cake#1801,barbarian
577,JeanbuteOsti#1989,barbarian
